Campaign_ID,Landing_page,Ad_Format,Ad_Platform,Impressions,Clicks,Cost_Per_Click,Conversion rate,Bounce_Rate
ID.7563,Up to 50% off,video,Facebook,2912,1384,0.18,1.07,0.4
ID.9872,Up to 50% off,video,Facebook,4204,2115,0.03,4.41,0.67
ID.7563,Up to 50% off,video,Facebook,7317,760,0.04,3.41,0.4
ID.9872,Up to 50% off,video,Facebook,5528,1196,0.04,3.22,0.63
ID.9872,Up to 50% off,video,Facebook,4096,1023,0.08,2.72,0.37
ID.9872,Up to 50% off,video,Facebook,3009,2866,1.17,1.85,0.36
ID.1816,Up to 50% off,video,Facebook,4864,3387,0.75,4.84,0.54
ID.1816,Up to 50% off,video,Facebook,2018,1859,0.68,4.66,0.35
ID.9872,Up to 50% off,video,Facebook,4851,2994,0.08,4.45,0.69
ID.9872,Up to 50% off,video,Facebook,5454,2463,0.05,3.08,0.48
ID.1816,Up to 50% off,video,Facebook,8059,5960,0.16,3.86,0.38
ID.1816,Up to 50% off,video,Facebook,5812,3823,0.08,3.95,0.64
ID.1816,Up to 50% off,video,Facebook,9884,1814,0.1,3.9,0.38
ID.9872,Up to 50% off,video,Facebook,6099,3760,0.06,1.48,0.64
ID.9872,Up to 50% off,video,Facebook,9779,3935,0.63,3.26,0.57
ID.9872,Up to 50% off,video,Facebook,1534,926,0.54,1.34,0.45
ID.9872,Up to 50% off,video,Facebook,7357,4243,0.04,3.84,0.3
ID.1816,Up to 50% off,video,Facebook,9657,9655,0.12,2.01,0.55
ID.9872,Up to 50% off,video,Facebook,4960,2801,0.12,2.51,0.41
ID.9872,Up to 50% off,video,Facebook,1858,1056,0.41,4.09,0.61
ID.9872,Up to 50% off,video,Facebook,2540,1772,0.15,1.17,0.69
ID.9872,Up to 50% off,video,Facebook,8598,3157,0.3,3.22,0.41
ID.9872,Up to 50% off,video,Facebook,4815,839,0.39,1.89,0.55
ID.9872,Up to 50% off,video,Facebook,4927,2160,0.13,1.08,0.46
ID.9872,Up to 50% off,video,Facebook,5955,3772,0.58,2.12,0.68
ID.1816,Up to 50% off,video,Facebook,4793,1686,0.16,3.74,0.58
ID.7563,Up to 50% off,video,Facebook,3780,1597,0.32,2.36,0.47
ID.9872,Up to 50% off,video,Facebook,4387,3371,0.21,1.55,0.66
ID.9872,Up to 50% off,video,Facebook,9204,8182,0.03,4.52,0.51
ID.9872,Up to 50% off,video,Facebook,7836,3504,0.05,1.04,0.55
ID.1816,Up to 50% off,video,Facebook,1346,428,0.31,4.08,0.54
ID.7563,Up to 50% off,video,Facebook,3726,1154,0.22,2.43,0.56
ID.9872,Up to 50% off,video,Facebook,8942,7055,0.24,4.43,0.33
ID.9872,Up to 50% off,video,Facebook,7536,5027,0.1,2.41,0.63
ID.7563,Up to 50% off,video,Facebook,7274,3588,0.25,4.59,0.67
ID.9872,Up to 50% off,video,Facebook,6518,3826,0.14,3.74,0.44
ID.1816,Up to 50% off,video,Facebook,1379,1067,0.3,4.79,0.5
ID.1816,Up to 50% off,video,Facebook,6614,4532,0.12,4.19,0.34
ID.7563,Up to 50% off,video,Facebook,8208,1408,0.17,2.75,0.67
ID.7563,Up to 50% off,video,Facebook,8570,2558,0.16,1.64,0.57
ID.1816,Up to 50% off,video,Facebook,7250,2185,0.17,1.59,0.35
ID.9872,Up to 50% off,video,Facebook,8336,899,0.04,3.27,0.54
ID.9872,Up to 50% off,video,Facebook,7123,1535,0.02,1.69,0.53
ID.9872,Up to 50% off,video,Facebook,7777,4083,0.36,4.54,0.62
ID.1816,Up to 50% off,video,Facebook,7361,3568,0.08,2.39,0.64
ID.9872,Up to 50% off,video,Facebook,8368,7341,0.1,2.7,0.32
ID.7563,Up to 50% off,video,Facebook,5946,5244,0.15,4.68,0.48
ID.1816,Up to 50% off,video,Facebook,5819,2950,0.06,1.63,0.61
ID.9872,Up to 50% off,video,Facebook,4232,2464,0.09,3.76,0.32
ID.9872,Up to 50% off,video,Facebook,2951,1133,0.06,3.64,0.45
ID.1816,Up to 50% off,video,Facebook,4493,2278,0.16,3.9,0.32
ID.9872,Up to 50% off,video,Facebook,7127,384,0.12,3.35,0.48
ID.7563,Up to 50% off,video,Facebook,9853,9173,0.06,1.99,0.43
ID.9872,Up to 50% off,video,Facebook,1318,1300,0.33,1.86,0.53
ID.7563,Up to 50% off,video,Facebook,2890,2649,0.27,3.23,0.69
ID.1816,Up to 50% off,video,Facebook,6383,455,0.45,1.37,0.49
ID.9872,Up to 50% off,video,Facebook,1673,524,0.4,3.01,0.62
ID.9872,Up to 50% off,video,Facebook,7366,4467,0.09,1.5,0.33
ID.7563,Up to 50% off,video,Facebook,6934,5160,0.04,4.66,0.52
ID.1816,Up to 50% off,video,Facebook,9272,4171,0.05,4.75,0.35
ID.1816,New arrivals,image,Google,3615,3258,0.23,4.29,0.45
ID.7563,New arrivals,image,Google,3629,1242,0.7,3.29,0.56
ID.1816,New arrivals,image,Google,9064,4620,0.1,4.94,0.38
ID.1816,New arrivals,image,Google,9842,8605,0.11,4.36,0.31
ID.7563,New arrivals,image,Google,2361,1921,0.34,1.1,0.48
ID.9872,New arrivals,image,Google,7195,510,0.14,3.94,0.45
ID.7563,New arrivals,image,Google,7899,425,0.12,1.03,0.35
ID.1816,New arrivals,image,Google,5105,4010,0.9,2.94,0.65
ID.1816,New arrivals,image,Google,2919,538,0.32,1.33,0.32
ID.7563,New arrivals,image,Google,3573,3488,0.08,1.27,0.3
ID.9872,New arrivals,image,Google,9998,1139,0.38,2.27,0.49
ID.1816,New arrivals,image,Google,1112,503,0.35,2.06,0.46
ID.9872,New arrivals,image,Google,4528,1761,0.2,1.94,0.61
ID.9872,New arrivals,image,Google,4046,1230,0.08,4.32,0.62
ID.7563,New arrivals,image,Google,3097,1814,0.25,3.45,0.43
ID.9872,New arrivals,image,Google,7315,5763,0.49,3.95,0.68
ID.9872,New arrivals,image,Google,5454,3676,0.18,4.61,0.61
ID.7563,New arrivals,image,Google,7968,3079,0.04,2.32,0.3
ID.9872,New arrivals,image,Google,5809,440,0.39,4.94,0.5
ID.9872,New arrivals,image,Google,4447,4418,0.45,4.09,0.68
ID.7563,New arrivals,image,Google,1165,356,0.67,2.88,0.7
ID.1816,New arrivals,image,Google,5150,3615,0.02,2.97,0.64
ID.9872,New arrivals,image,Google,5063,1274,0.17,2.61,0.68
ID.9872,New arrivals,image,Google,7418,4748,0.19,1.15,0.7
ID.1816,New arrivals,image,Google,3099,2194,0.19,4.53,0.45
ID.9872,New arrivals,image,Google,3804,606,0.03,4.02,0.5
ID.1816,New arrivals,image,Google,1446,1264,0.64,2.99,0.35
ID.9872,New arrivals,image,Google,4594,4123,0.08,4.59,0.36
ID.1816,New arrivals,image,Google,5986,5112,0.04,2.48,0.36
ID.9872,New arrivals,image,Google,3518,1331,0.13,1.16,0.44
ID.7563,New arrivals,image,Google,1186,588,0.7,4.69,0.56
ID.9872,New arrivals,image,Google,4605,997,0.36,4.14,0.68
ID.9872,New arrivals,image,Google,3749,3615,0.25,2.59,0.33
ID.9872,New arrivals,image,Google,3097,2088,0.3,3.66,0.45
ID.9872,New arrivals,image,Google,5246,1918,0.22,3.49,0.52
ID.1816,New arrivals,image,Google,6607,3092,0.05,1.6,0.38
ID.1816,New arrivals,image,Google,3626,1242,0.04,1.62,0.61
ID.7563,New arrivals,image,Google,4373,3553,0.13,1.9,0.61
ID.7563,New arrivals,image,Google,1110,693,0.97,1.85,0.5
ID.9872,New arrivals,image,Google,1637,744,0.17,2.22,0.66
ID.1816,New arrivals,image,Google,2838,1169,0.09,1.44,0.31
ID.7563,New arrivals,image,Google,9391,6952,0.11,4.55,0.64
ID.9872,New arrivals,image,Google,8629,7721,0.13,2.52,0.66
ID.7563,New arrivals,image,Google,2569,205,0.35,1.16,0.39
ID.9872,New arrivals,image,Google,1104,351,0.88,1.4,0.38
ID.9872,New arrivals,image,Google,1026,508,0.11,4.01,0.57
ID.1816,New arrivals,image,Google,1763,1068,0.47,3.28,0.61
ID.7563,New arrivals,image,Google,4747,3350,0.08,2.88,0.35
ID.7563,New arrivals,image,Google,7750,707,0.11,4.96,0.65
ID.7563,New arrivals,image,Google,5184,2768,0.09,3.21,0.39
ID.9872,Best sellers,carousel,Instagram,8207,6103,0.08,1.26,0.52
ID.1816,Best sellers,carousel,Instagram,6262,1205,0.04,3.53,0.3
ID.9872,Best sellers,carousel,Instagram,5684,5077,0.15,3.15,0.51
ID.1816,Best sellers,carousel,Instagram,6153,2175,0.12,1.05,0.33
ID.7563,Best sellers,carousel,Instagram,5295,1868,0.02,2.66,0.63
ID.1816,Best sellers,carousel,Instagram,2814,2188,0.09,4.6,0.55
ID.7563,Best sellers,carousel,Instagram,4057,3422,0.04,3.6,0.36
ID.9872,Best sellers,carousel,Instagram,5127,750,0.41,4.36,0.69
ID.9872,Best sellers,carousel,Instagram,9280,1026,0.49,2.25,0.31
ID.7563,Best sellers,carousel,Instagram,6630,5533,0.12,2.21,0.65
ID.9872,Best sellers,carousel,Instagram,6048,2932,0.12,4.15,0.65
